[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
[1/1] Move snake in direction w
[1/1] Move snake in direction e
